Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,75.05668934240363,76.19047619047619,140.0,71.42857142857143,71.42857142857143,0.0
MEGA-BASE,73.04964539007092,76.19047619047619,63.0,71.42857142857143,71.42857142857143,0.0
FGFA,67.18426501035198,71.42857142857143,121.0,61.904761904761905,61.904761904761905,9.0
RDN,76.19047619047619,76.19047619047619,30.0,76.19047619047619,76.19047619047619,0.0
MEGA,69.5923180592992,76.19047619047619,87.0,68.15476190476191,71.42857142857143,5.0
