Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,36.08982225938897,52.719665271966534,3474.0,33.29765387336779,35.56485355648535,53.0
MEGA-BASE,40.06460270019393,53.97489539748954,2916.0,34.953409724557694,36.40167364016737,26.0
FGFA,37.26451146548461,52.30125523012552,2624.0,33.35674457994811,33.89121338912134,16.0
RDN,50.22193021599072,66.10878661087865,1976.0,43.865619696788734,45.18828451882845,37.0
MEGA,59.300242610438694,74.05857740585773,2086.0,54.29808411785715,58.57740585774059,37.0
