Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,53.73052275072728,71.25,814.0,39.94642857142857,40.0,8.0
MEGA-BASE,59.792788503946625,73.75,1321.0,48.43866105156715,49.375,17.0
FGFA,51.754189001836956,70.0,965.0,40.0,40.0,1.0
RDN,62.4572248508502,73.125,670.0,56.909911841579806,60.62499999999999,41.0
MEGA,65.23330146970271,80.0,1212.0,54.8131393591739,58.12500000000001,21.0
