Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,19.277110741349524,34.0,1540.0,16.626248751248752,18.0,10.0
MEGA-BASE,26.802310612643375,40.0,1129.0,24.566147563676637,27.0,24.0
FGFA,21.681823334320935,33.0,1299.0,20.71235857053052,27.0,29.0
RDN,21.315769184857956,37.0,990.0,17.9,18.0,2.0
MEGA,30.863119929762355,36.0,464.0,30.44658903777092,32.0,14.0
