Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,43.71350299121023,59.756097560975604,1256.0,37.415184302218954,39.02439024390244,11.0
MEGA-BASE,33.62656071723302,58.536585365853654,1411.0,32.8427796103599,47.5609756097561,208.0
FGFA,49.056721926876,63.41463414634146,788.0,43.838254172015404,43.90243902439025,2.0
RDN,30.278325483334946,67.07317073170732,2017.0,25.590619817966992,28.04878048780488,19.0
MEGA,32.02111668387488,63.41463414634146,1317.0,28.97999440682367,30.48780487804878,49.0
