Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,19.108880292594936,37.67441860465116,3751.0,16.54810236485858,19.069767441860467,63.0
MEGA-BASE,22.14598259802211,46.51162790697674,2993.0,17.168529804386505,20.930232558139537,108.0
FGFA,14.456614721845568,35.581395348837205,2474.0,11.811813410771007,14.651162790697676,110.0
RDN,28.10724162286986,49.76744186046512,2715.0,22.61629423964862,25.116279069767444,79.0
MEGA,29.22396271070205,46.51162790697674,2954.0,24.763673665150307,26.27906976744186,58.0
