Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,69.05887704627402,71.875,408.0,69.91527909613457,70.3125,4.0
MEGA-BASE,69.56604921577578,75.0,859.0,64.70472704847707,65.625,8.0
FGFA,68.96165557591691,75.0,586.0,65.58866279069767,65.625,1.0
RDN,71.52954663927375,75.0,727.0,76.85808776649867,78.125,8.0
MEGA,72.02633074345339,79.6875,325.0,76.71229781809068,81.25,9.0
