Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,34.07602059922712,60.16548463356975,5098.0,28.443508804746138,36.05200945626478,307.0
MEGA-BASE,36.26876779574388,68.43971631205675,5494.0,28.900281397364846,40.0709219858156,358.0
FGFA,35.320863242516694,65.13002364066193,5725.0,28.825397933793127,38.297872340425535,329.0
RDN,39.47413393260384,64.0661938534279,3189.0,34.55772435390591,47.75413711583924,455.0
MEGA,38.98907531551772,66.903073286052,4989.0,31.281673624565098,41.48936170212766,346.0
