Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,22.583261718980115,32.532751091703055,707.0,19.234238045075518,20.74235807860262,64.0
MEGA-BASE,26.133181448502285,33.84279475982533,687.0,24.488426855456705,27.074235807860266,173.0
FGFA,22.528368604121134,33.624454148471614,784.0,20.311125105444045,23.362445414847162,337.0
RDN,27.42578428132329,35.80786026200873,619.0,24.666528378762393,26.419213973799128,137.0
MEGA,25.634055581768568,36.681222707423586,657.0,24.231799009088782,30.567685589519648,459.0
