Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,55.16882829401101,68.14159292035397,862.0,51.77484556528896,54.86725663716814,55.0
MEGA-BASE,50.87675849569827,65.48672566371681,635.0,47.2371130036281,53.98230088495575,60.0
FGFA,54.68748084896477,67.2566371681416,532.0,50.44156553929297,53.09734513274337,54.0
RDN,60.602351053646764,70.79646017699115,583.0,57.85921801984488,60.17699115044248,66.0
MEGA,42.881333004188185,70.79646017699115,626.0,39.35178426347014,56.63716814159292,62.0
