Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,38.949386704920606,71.42857142857143,285.0,35.714285714285715,39.285714285714285,13.0
MEGA-BASE,43.96401129716408,60.71428571428571,278.0,37.79761904761905,39.285714285714285,12.0
FGFA,48.40796483653628,64.28571428571429,573.0,46.173469387755105,46.42857142857143,1.0
RDN,57.84883720930232,60.71428571428571,75.0,57.14285714285714,57.14285714285714,0.0
MEGA,57.75466911101673,78.57142857142857,221.0,50.263823478109195,53.57142857142857,6.0
