Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,10.45188237409803,63.20754716981132,1429.0,9.39106547184902,46.22641509433962,1105.0
MEGA-BASE,65.88918163491306,72.64150943396226,278.0,62.46049053909084,64.15094339622641,12.0
FGFA,60.808709231230054,67.9245283018868,231.0,51.78748758689176,51.886792452830186,2.0
RDN,65.06154310668984,71.69811320754717,201.0,59.97699729587118,61.32075471698113,8.0
MEGA,58.43751821653357,61.32075471698113,9.0,58.43751821653357,61.32075471698113,9.0
