Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,29.60828792084636,55.55555555555556,1115.0,28.822638459729262,37.03703703703704,33.0
MEGA-BASE,38.086835187536394,58.333333333333336,1338.0,37.085047291085125,38.88888888888889,21.0
FGFA,35.320937777279546,50.92592592592593,1247.0,33.333276724358605,36.11111111111111,17.0
RDN,39.55924834157295,60.18518518518518,1154.0,37.04615305818029,38.88888888888889,7.0
MEGA,43.70474046243649,58.333333333333336,693.0,44.406443628451235,50.92592592592593,22.0
