Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,30.599893435280666,50.71174377224199,1689.0,24.95226609288925,32.562277580071175,204.0
MEGA-BASE,33.29190442078722,54.44839857651246,1566.0,28.778302022968038,39.32384341637011,250.0
FGFA,26.92809364206091,51.06761565836299,1676.0,21.699439738880056,32.028469750889684,234.0
RDN,46.95212180882825,61.032028469750884,2156.0,40.78596193301618,44.30604982206406,129.0
MEGA,48.74148244304621,63.52313167259786,1037.0,39.85658864460617,45.90747330960854,114.0
