Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,65.51268602770311,70.87378640776699,83.0,61.958737592842894,65.0485436893204,20.0
MEGA-BASE,71.7034203361695,73.7864077669903,34.0,69.66645404871679,70.87378640776699,8.0
FGFA,69.06756333281827,69.90291262135922,32.0,66.01941747572816,66.01941747572816,0.0
RDN,74.41600569031446,75.72815533980582,63.0,73.95459673256987,74.75728155339806,8.0
MEGA,68.56204655419208,75.72815533980582,40.0,68.0979100102759,74.75728155339806,11.0
