Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,29.839744607696687,41.66666666666667,153.0,28.743239530715808,35.41666666666667,28.0
MEGA-BASE,32.610516934046345,39.58333333333333,182.0,31.004901960784316,31.25,14.0
FGFA,32.62540722718454,39.58333333333333,221.0,32.43325512362467,37.5,30.0
RDN,26.6057009826914,52.083333333333336,552.0,24.058441558441558,31.25,18.0
MEGA,31.992531217650104,35.41666666666667,123.0,31.715838509316775,33.33333333333333,19.0
