Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,50.46701530183413,61.30268199233716,933.0,44.52476684096526,48.46743295019157,94.0
MEGA-BASE,52.83903270832258,68.00766283524904,1071.0,44.93426481640667,50.57471264367817,122.0
FGFA,52.24957366056654,64.9425287356322,657.0,46.44758133386538,52.87356321839081,164.0
RDN,48.189743865257505,67.62452107279694,1003.0,43.16896173549214,54.02298850574713,223.0
MEGA,49.68624000863423,67.43295019157088,836.0,44.9665186269565,55.74712643678161,212.0
