Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,26.29722230791819,50.89285714285714,4592.0,21.717513551064293,26.785714285714285,245.0
MEGA-BASE,35.00694663849644,51.636904761904766,3159.0,29.922216388821887,32.73809523809524,184.0
FGFA,31.3206861102599,52.083333333333336,2699.0,25.70092026238211,30.505952380952383,251.0
RDN,40.74041713980013,58.333333333333336,3133.0,33.33302793847803,35.714285714285715,136.0
MEGA,47.30615410187185,70.68452380952381,3370.0,39.0513191294728,42.70833333333333,154.0
