Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,25.774355434628575,50.0,726.0,24.239417989417994,30.555555555555557,10.0
MEGA-BASE,40.77420262313044,52.77777777777778,449.0,38.88888888888889,38.88888888888889,3.0
FGFA,38.94759478092811,47.22222222222222,434.0,33.33333333333333,33.33333333333333,1.0
RDN,38.577967141862814,69.44444444444444,743.0,32.69230769230769,33.33333333333333,1.0
MEGA,58.33055510438883,77.77777777777779,305.0,50.55010893246188,52.77777777777778,5.0
