Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,31.394634687130065,40.57377049180328,564.0,25.170174069724943,25.40983606557377,10.0
MEGA-BASE,35.047425948132556,48.36065573770492,490.0,28.885281272031676,32.37704918032787,53.0
FGFA,36.407850974793874,46.72131147540984,767.0,32.494365712546205,33.19672131147541,27.0
RDN,28.88083621122644,45.49180327868852,476.0,24.91974243913278,34.01639344262295,90.0
MEGA,33.38801053001007,49.59016393442623,610.0,27.38042720349477,29.918032786885245,38.0
