Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,58.73406745776134,60.59907834101382,1111.0,55.20700819955445,55.76036866359447,104.0
MEGA-BASE,61.56011771110686,63.42165898617511,628.0,58.976292337930914,60.13824884792627,146.0
FGFA,59.96060961536534,62.21198156682027,952.0,55.41517348655282,56.22119815668203,127.0
RDN,62.79025447108594,64.40092165898618,659.0,59.418936904721434,60.19585253456221,112.0
MEGA,51.271072672943795,54.32027649769585,111.0,51.271072672943795,54.32027649769585,111.0
