Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,27.113450180864074,54.45544554455446,1081.0,22.98742205720678,26.732673267326735,21.0
MEGA-BASE,32.701949080691456,54.45544554455446,701.0,26.41014164572474,29.7029702970297,21.0
FGFA,31.252569788686852,50.495049504950494,450.0,25.837794960719172,28.71287128712871,26.0
RDN,26.995176874122844,62.37623762376238,587.0,20.202830531799858,28.71287128712871,45.0
MEGA,33.03595687722191,61.386138613861384,578.0,30.429869038169304,45.54455445544555,89.0
