Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,55.42796916524447,68.0,1248.0,52.57792525780056,56.00000000000001,65.0
MEGA-BASE,44.45841546239856,73.71428571428571,1861.0,43.7915338117681,65.71428571428571,937.0
FGFA,47.50971549720788,70.28571428571428,1675.0,46.379258907588714,57.14285714285714,786.0
RDN,57.80705299093971,75.42857142857143,1193.0,56.707832330091726,66.85714285714286,577.0
MEGA,58.64894253173346,78.28571428571428,2475.0,54.92035979291349,58.285714285714285,64.0
