Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,35.14757528810691,43.36283185840708,610.0,32.15525981960473,34.95575221238938,40.0
MEGA-BASE,25.871544477892737,33.6283185840708,40.0,25.871544477892737,33.6283185840708,40.0
FGFA,27.961554737277677,42.47787610619469,679.0,23.45456134734958,29.646017699115045,54.0
RDN,24.778308386225554,38.49557522123894,67.0,24.778308386225554,38.49557522123894,67.0
MEGA,46.842148911068996,53.98230088495575,366.0,42.62871350705309,43.80530973451327,27.0
