Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,30.217920995196817,53.70370370370371,742.0,25.80803980207219,29.629629629629626,37.0
MEGA-BASE,54.10277764544633,62.96296296296296,221.0,47.87379972565159,48.148148148148145,2.0
FGFA,43.16082735578223,51.85185185185185,250.0,40.19434107153405,42.592592592592595,10.0
RDN,52.74878673965122,61.111111111111114,261.0,49.51938898654623,55.55555555555556,16.0
MEGA,53.97097008842512,64.81481481481481,343.0,46.80183056619837,48.148148148148145,4.0
