Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,23.54470320038926,60.97560975609756,1614.0,20.428883474560777,34.756097560975604,271.0
MEGA-BASE,20.037485893453262,63.41463414634146,2221.0,16.48637611498155,26.82926829268293,260.0
FGFA,15.985405923415893,38.41463414634146,1513.0,14.242711845932623,22.5609756097561,124.0
RDN,22.756007032358514,71.95121951219512,1914.0,17.929053697296776,23.78048780487805,129.0
MEGA,26.044779329309137,72.5609756097561,1523.0,21.593552172206405,25.0,132.0
