Detector,mAP,VR@mAP,FP@mAP,VmAP,VR@VmAP,FP@VmAP
DFF,45.980741697055,57.475083056478404,1180.0,38.27549181698618,39.8671096345515,42.0
MEGA-BASE,47.59689278085288,60.13289036544851,1038.0,39.563094878342056,40.53156146179402,28.0
FGFA,48.817222716341966,56.47840531561462,805.0,44.41755599471159,46.51162790697674,47.0
RDN,52.11352059344199,62.12624584717608,1106.0,45.37077415043691,46.51162790697674,26.0
MEGA,51.51658341071163,61.79401993355482,619.0,43.38610641494932,45.84717607973422,31.0
