Dataset name,#small objects,#large objects,VmAP,#small frames,#large frames,mAP
D1,1,1,100.0,600,600,99.24783781111012
D2,6,2,76.65094339622641,532,600,97.65351463817564
D3,11,4,60.69043658310643,600,600,93.54527437311782
Da,1,1,100.0,60,360,97.09402005166712
Db,1,1,100.0,180,360,95.82799792923852
Dc,1,1,100.0,360,360,97.73788178229154
