Dataset name,#small objects,#large objects,VmAP,#small frames,#large frames,mAP
D1,0,0,6.25,0,0,27.901912311508237
D2,0,0,21.875,0,0,26.06920238574079
D3,0,0,44.08244680851064,0,0,27.76047905641441
Da,0,0,100.0,0,0,46.42290178942719
Db,0,0,100.0,0,0,34.715211371797196
Dc,0,0,100.0,0,0,27.085141348589215
